Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,%,false,1.02,0.49,1.19,0.22,6.50,2.61,-2.17,10.99,-2.49,-5.61,30.29,5.32,10.60,3.31,0.19,-0.13,5.97,1.25,4.02,3.91,0.14,-0.25,1.65,0.80,1.90,-0.17,-1.11
Cameroon,%,false,-0.43,-0.07,5.83,74.52,0.03,0.21,0.66,2.90,-0.59,1.02,-10.50,0.05,2.22,-1.72,2.27,-1.33,0.98,0.12,0.05,1.04,-6.73,-0.40,1.12,0.30,0.84,1.13,-0.01
Zimbabwe,%,false,0.70,1.85,-7.98,-0.64,-0.35,4.76,-1.96,3.17,5.39,-6.27,2.14,-6.90,-6.65,-0.28,1.27,-2.98,1.43,-5.13,2.63,8.34,6.96,0.78,0.12,-3.72,5.03,171.67,-0.37
Czech Republic,%,false,-9.67,-2.85,-3.11,-4.96,-0.02,1.16,-1.77,-4.78,-6.14,8.57,1.65,-4.10,3.31,0.40,-2.25,0.74,2.22,-3.69,-5.78,2.48,0.54,-2.65,-4.24,-2.28,1.65,-0.32,0.02
Kuwait,%,false,20.85,-32.03,25.21,14.68,1.09,-1.12,3.95,15.84,9.35,7.67,7.28,5.12,4.27,6.58,12.04,4.00,-0.43,6.16,3.32,4.40,4.90,4.14,3.18,-0.24,5.88,3.41,1.48
Mozambique,%,false,-0.02,0.40,0.47,-0.04,0.29,-16.57,-3.17,3.93,-1.66,-3.36,26.17,0.10,5.69,-1.11,5.21,-1.27,2.24,5.13,-5.20,9.08,-10.17,4.30,1.62,0.41,-0.89,8.98,-1.28
Belgium,%,false,3.90,-1.45,-1.68,4.20,0.12,4.02,-2.30,2.05,-2.79,0.02,1.03,-5.37,2.64,-1.09,-2.96,-2.36,-3.77,1.97,-5.83,6.42,-9.57,-0.54,1.16,-5.80,4.86,1.24,-1.90
Chad,%,false,25.79,2.78,3.01,2.98,3.02,9.07,4.51,11.38,4.12,0.62,8.45,8.29,7.60,5.42,5.58,1.93,3.39,0.66,0.08,4.57,15.95,3.74,1.90,2.82,5.65,2.82,1.95
Libya,%,false,-2.47,-2.87,0.72,5.18,1.77,2.09,-0.22,1.32,-1.40,1.68,3.65,4.14,2.73,3.16,4.93,0.86,-1.65,4.46,2.27,3.00,-21.02,2.40,-7.45,-6.31,-17.00,2.04,11.50
Qatar,%,false,15.38,1.10,5.62,5.09,4.80,4.97,8.16,6.68,9.65,-4.47,7.98,16.57,5.03,10.06,27.09,9.47,14.06,8.43,4.16,8.93,5.81,11.02,2.27,7.55,3.96,2.42,2.78
Afghanistan,%,false,-0.63,-11.54,-1.52,-1.74,1.88,8.67,7.51,5.81,5.98,-12.66,7.26,19.13,4.24,-1.55,5.30,20.78,18.15,26.64,17.11,21.44,29.71,13.86,12.10,13.18,10.80,2.19,2.02
Paraguay,%,false,-3.98,-0.87,0.29,-0.01,2.79,-0.05,1.62,0.30,4.24,-5.83,21.78,0.27,1.88,-2.35,1.52,0.14,4.01,-2.36,2.19,2.87,13.49,1.15,1.48,1.63,0.36,-18.50,3.12
Zambia,%,false,-0.61,-0.89,-1.67,-2.08,-3.38,-15.50,-2.97,-1.75,-6.87,-10.81,12.10,6.08,10.13,0.92,4.20,-7.17,4.26,3.62,-5.25,9.86,21.19,4.88,1.66,0.99,5.93,-0.86,0.38
